epoch,lr,train_loss,obj_loss,box_loss,n_pos,ap,recall,precision
1,0.000300,6.0692,2.0970,1.0041,4178,,,
2,0.000570,5.1537,0.6954,0.9612,4153,,,
3,0.000840,5.0666,0.7627,0.9371,4227,,,
4,0.001110,4.9601,0.8080,0.9112,4258,,,
5,0.001380,4.8781,0.8255,0.8931,4258,0.0350,0.2423,0.0182
6,0.001650,4.8299,0.8485,0.8811,4208,,,
6,0.001650,4.8263,0.8446,0.8808,4201,,,
7,0.001920,4.7834,0.8625,0.8704,4193,,,
8,0.002190,4.7371,0.8669,0.8607,4266,,,
9,0.002460,4.6788,0.8980,0.8460,4133,,,
10,0.002730,4.6646,0.9021,0.8427,4210,0.1184,0.4008,0.0275
11,0.003000,4.6740,0.9221,0.8426,4260,,,
12,0.003000,4.6007,0.9205,0.8281,4283,,,
13,0.002999,4.5846,0.9213,0.8248,4213,,,
14,0.002998,4.5438,0.9265,0.8161,4270,,,
15,0.002997,4.5192,0.9325,0.8106,4184,0.1634,0.4179,0.0377
16,0.002995,4.5008,0.9364,0.8065,4188,,,
17,0.002993,4.4733,0.9311,0.8016,4258,,,
18,0.002990,4.4638,0.9292,0.7998,4301,,,
19,0.002987,4.4383,0.9344,0.7942,4211,,,
20,0.002983,4.4350,0.9424,0.7928,4274,0.1852,0.4405,0.0297
21,0.002980,4.4304,0.9471,0.7914,4187,,,
22,0.002975,4.4092,0.9440,0.7874,4274,,,
23,0.002971,4.3920,0.9395,0.7844,4245,,,
24,0.002966,4.3870,0.9399,0.7834,4203,,,
25,0.002960,4.3597,0.9498,0.7770,4181,0.2364,0.4956,0.0544
26,0.002954,4.3469,0.9460,0.7748,4189,,,
27,0.002948,4.3524,0.9492,0.7756,4214,,,
28,0.002941,4.3496,0.9466,0.7753,4183,,,
29,0.002934,4.3317,0.9442,0.7719,4196,,,
30,0.002927,4.2984,0.9467,0.7650,4273,0.2661,0.5298,0.0580
31,0.002919,4.3184,0.9430,0.7694,4159,,,
32,0.002911,4.3218,0.9407,0.7703,4264,,,
33,0.002902,4.2945,0.9432,0.7646,4282,,,
34,0.002893,4.2800,0.9499,0.7610,4231,,,
35,0.002884,4.2807,0.9556,0.7606,4222,0.2698,0.5217,0.0590
36,0.002874,4.3011,0.9574,0.7645,4275,,,
37,0.002864,4.2868,0.9543,0.7619,4264,,,
38,0.002853,4.2694,0.9505,0.7588,4315,,,
39,0.002843,4.2712,0.9661,0.7576,4101,,,
40,0.002831,4.2426,0.9546,0.7531,4232,0.3027,0.5519,0.0612
41,0.002820,4.2371,0.9590,0.7515,4259,,,
42,0.002808,4.2519,0.9576,0.7546,4181,,,
43,0.002796,4.2568,0.9551,0.7559,4301,,,
44,0.002783,4.2393,0.9553,0.7523,4265,,,
45,0.002770,4.2250,0.9510,0.7499,4213,0.3081,0.5457,0.0660
46,0.002757,4.2280,0.9589,0.7497,4301,,,
47,0.002743,4.2183,0.9469,0.7490,4255,,,
48,0.002729,4.2141,0.9570,0.7471,4220,,,
49,0.002714,4.2042,0.9596,0.7449,4250,,,
50,0.002700,4.2097,0.9624,0.7457,4261,0.3060,0.5472,0.0703
51,0.002685,4.2005,0.9622,0.7439,4267,,,
52,0.002669,4.1956,0.9556,0.7435,4290,,,
53,0.002654,4.1966,0.9636,0.7430,4249,,,
54,0.002638,4.2014,0.9615,0.7441,4234,,,
55,0.002621,4.1908,0.9567,0.7425,4163,0.3311,0.5731,0.0675
56,0.002605,4.1746,0.9528,0.7396,4276,,,
57,0.002588,4.1801,0.9612,0.7399,4303,,,
58,0.002571,4.1637,0.9645,0.7363,4274,,,
59,0.002553,4.1702,0.9568,0.7383,4196,,,
60,0.002536,4.1575,0.9641,0.7351,4219,0.3352,0.5724,0.0738
61,0.002518,4.1603,0.9606,0.7360,4310,,,
62,0.002499,4.1631,0.9586,0.7368,4213,,,
63,0.002481,4.1798,0.9638,0.7396,4188,,,
64,0.002462,4.1265,0.9640,0.7289,4197,,,
65,0.002443,4.1482,0.9644,0.7332,4196,0.3401,0.5757,0.0789
66,0.002423,4.1314,0.9683,0.7294,4164,,,
67,0.002404,4.1509,0.9627,0.7339,4231,,,
68,0.002384,4.1174,0.9676,0.7267,4258,,,
69,0.002364,4.1284,0.9611,0.7296,4239,,,
70,0.002343,4.1188,0.9676,0.7270,4183,0.3420,0.5747,0.0810
71,0.002323,4.1298,0.9616,0.7298,4231,,,
72,0.002302,4.1257,0.9633,0.7288,4270,,,
73,0.002281,4.1149,0.9589,0.7271,4295,,,
74,0.002260,4.1285,0.9622,0.7295,4201,,,
75,0.002238,4.1093,0.9613,0.7257,4234,0.3483,0.5756,0.0828
76,0.002217,4.1106,0.9713,0.7250,4181,,,
77,0.002195,4.1078,0.9653,0.7250,4264,,,
78,0.002173,4.1190,0.9617,0.7276,4210,,,
79,0.002150,4.1035,0.9644,0.7243,4257,,,
80,0.002128,4.1006,0.9625,0.7239,4257,0.3354,0.5608,0.0954
81,0.002106,4.0774,0.9645,0.7190,4227,,,
82,0.002083,4.0934,0.9676,0.7219,4237,,,
83,0.002060,4.0824,0.9616,0.7203,4207,,,
84,0.002037,4.0875,0.9654,0.7210,4211,,,
85,0.002014,4.0777,0.9704,0.7185,4209,0.3561,0.5857,0.0930
86,0.001990,4.0707,0.9743,0.7167,4179,,,
87,0.001967,4.0677,0.9648,0.7171,4271,,,
88,0.001943,4.0808,0.9661,0.7195,4258,,,
89,0.001920,4.0769,0.9620,0.7192,4239,,,
90,0.001896,4.0636,0.9634,0.7164,4245,0.3644,0.5892,0.0885
91,0.001872,4.0533,0.9642,0.7143,4255,,,
92,0.001848,4.0739,0.9694,0.7178,4142,,,
93,0.001824,4.0481,0.9653,0.7131,4267,,,
94,0.001800,4.0369,0.9627,0.7111,4282,,,
95,0.001775,4.0522,0.9688,0.7136,4227,0.3712,0.6051,0.0732
96,0.001751,4.0420,0.9706,0.7113,4182,,,
97,0.001727,4.0464,0.9680,0.7125,4233,,,
98,0.001702,4.0422,0.9613,0.7123,4335,,,
99,0.001678,4.0365,0.9652,0.7108,4228,,,
100,0.001653,4.0481,0.9609,0.7135,4205,0.3703,0.5939,0.0962
101,0.001628,4.0273,0.9699,0.7085,4289,,,
102,0.001604,4.0306,0.9664,0.7095,4258,,,
103,0.001579,4.0344,0.9666,0.7102,4175,,,
104,0.001554,4.0219,0.9659,0.7078,4267,,,
105,0.001530,4.0153,0.9591,0.7071,4269,0.3735,0.5920,0.0986
106,0.001505,4.0258,0.9699,0.7082,4184,,,
107,0.001480,4.0075,0.9718,0.7043,4213,,,
108,0.001456,4.0272,0.9664,0.7088,4230,,,
109,0.001431,4.0150,0.9589,0.7071,4248,,,
110,0.001406,4.0275,0.9631,0.7092,4175,0.3755,0.5934,0.0968
111,0.001382,4.0153,0.9546,0.7076,4323,,,
112,0.001357,4.0184,0.9639,0.7073,4270,,,
113,0.001332,4.0155,0.9622,0.7069,4264,,,
114,0.001308,4.0089,0.9685,0.7049,4222,,,
115,0.001283,4.0140,0.9699,0.7058,4191,0.3743,0.5989,0.0865
116,0.001259,3.9899,0.9669,0.7013,4181,,,
117,0.001235,3.9948,0.9720,0.7018,4241,,,
118,0.001210,3.9824,0.9677,0.6997,4197,,,
119,0.001186,3.9765,0.9673,0.6986,4205,,,
120,0.001162,3.9907,0.9695,0.7012,4259,0.3694,0.5805,0.1068
121,0.001138,3.9795,0.9684,0.6991,4245,,,
122,0.001114,3.9773,0.9710,0.6984,4208,,,
123,0.001090,3.9717,0.9696,0.6974,4163,,,
124,0.001067,3.9593,0.9681,0.6950,4271,,,
125,0.001043,3.9730,0.9711,0.6975,4150,0.3762,0.5921,0.1045
126,0.001020,3.9764,0.9675,0.6985,4157,,,
127,0.000996,3.9664,0.9660,0.6967,4262,,,
128,0.000973,3.9813,0.9606,0.7002,4267,,,
129,0.000950,3.9789,0.9612,0.6997,4239,,,
130,0.000927,3.9447,0.9695,0.6920,4227,0.3751,0.5934,0.0885
131,0.000904,3.9544,0.9600,0.6949,4202,,,
132,0.000882,3.9706,0.9612,0.6980,4264,,,
133,0.000860,3.9795,0.9610,0.6998,4224,,,
134,0.000837,3.9514,0.9688,0.6934,4211,,,
135,0.000815,3.9585,0.9713,0.6946,4215,0.3759,0.5884,0.0977
136,0.000793,3.9647,0.9643,0.6965,4192,,,
137,0.000772,3.9397,0.9678,0.6912,4236,,,
138,0.000750,3.9423,0.9677,0.6917,4233,,,
139,0.000729,3.9338,0.9740,0.6894,4257,,,
140,0.000708,3.9537,0.9659,0.6941,4271,0.3774,0.5933,0.1003
141,0.000687,3.9410,0.9693,0.6913,4256,,,
142,0.000667,3.9592,0.9601,0.6958,4254,,,
143,0.000646,3.9329,0.9583,0.6908,4287,,,
144,0.000626,3.9358,0.9696,0.6902,4163,,,
145,0.000606,3.9388,0.9596,0.6918,4207,0.3896,0.6099,0.0915
146,0.000587,3.9436,0.9618,0.6925,4328,,,
147,0.000567,3.9446,0.9657,0.6924,4242,,,
148,0.000548,3.9435,0.9662,0.6921,4255,,,
149,0.000529,3.9150,0.9733,0.6857,4178,,,
150,0.000511,3.9054,0.9648,0.6846,4165,0.3896,0.6171,0.0900
151,0.000492,3.9191,0.9669,0.6871,4218,,,
152,0.000474,3.9203,0.9626,0.6878,4271,,,
153,0.000457,3.9288,0.9643,0.6893,4188,,,
154,0.000439,3.9038,0.9634,0.6844,4245,,,
155,0.000422,3.9267,0.9649,0.6888,4207,0.3884,0.6125,0.0847
156,0.000405,3.8989,0.9697,0.6828,4182,,,
157,0.000389,3.9312,0.9608,0.6902,4209,,,
158,0.000372,3.9046,0.9632,0.6846,4223,,,
159,0.000356,3.8921,0.9619,0.6822,4263,,,
160,0.000341,3.8861,0.9658,0.6806,4175,0.3901,0.6170,0.0821
161,0.000325,3.8971,0.9670,0.6827,4204,,,
162,0.000310,3.8917,0.9658,0.6818,4237,,,
163,0.000296,3.9055,0.9584,0.6853,4290,,,
164,0.000281,3.8935,0.9651,0.6822,4243,,,
165,0.000267,3.9186,0.9648,0.6872,4322,0.3919,0.6180,0.0863
166,0.000253,3.8931,0.9659,0.6820,4160,,,
167,0.000240,3.9038,0.9618,0.6846,4190,,,
168,0.000227,3.8869,0.9636,0.6810,4189,,,
169,0.000214,3.9049,0.9674,0.6842,4173,,,
170,0.000202,3.9000,0.9649,0.6835,4230,0.3875,0.6098,0.0890
171,0.000190,3.9185,0.9645,0.6873,4226,,,
172,0.000179,3.8998,0.9584,0.6841,4253,,,
173,0.000167,3.8745,0.9656,0.6783,4237,,,
174,0.000157,3.9041,0.9678,0.6840,4223,,,
175,0.000146,3.8841,0.9658,0.6802,4237,0.3837,0.6081,0.0906
176,0.000136,3.8724,0.9629,0.6782,4296,,,
177,0.000126,3.8887,0.9561,0.6821,4256,,,
178,0.000117,3.8748,0.9600,0.6790,4284,,,
179,0.000108,3.9065,0.9612,0.6852,4262,,,
180,0.000099,3.8888,0.9611,0.6816,4202,0.3842,0.6034,0.0974
181,0.000091,3.8900,0.9589,0.6821,4212,,,
182,0.000083,3.8750,0.9646,0.6785,4217,,,
183,0.000076,3.8859,0.9642,0.6808,4227,,,
184,0.000069,3.8886,0.9610,0.6816,4276,,,
185,0.000062,3.8693,0.9589,0.6780,4235,0.3904,0.6128,0.0904
186,0.000056,3.8767,0.9599,0.6794,4256,,,
187,0.000050,3.8921,0.9560,0.6828,4293,,,
188,0.000044,3.8715,0.9574,0.6786,4284,,,
189,0.000039,3.8686,0.9632,0.6774,4241,,,
190,0.000035,3.8681,0.9623,0.6774,4320,0.3888,0.6080,0.0928
191,0.000030,3.8698,0.9613,0.6778,4265,,,
192,0.000027,3.8752,0.9620,0.6788,4260,,,
193,0.000023,3.8656,0.9655,0.6766,4232,,,
194,0.000020,3.8748,0.9607,0.6789,4273,,,
195,0.000017,3.8822,0.9626,0.6802,4211,0.3890,0.6110,0.0907
196,0.000015,3.8797,0.9645,0.6795,4150,,,
197,0.000013,3.8920,0.9615,0.6823,4231,,,
198,0.000012,3.8779,0.9632,0.6793,4223,,,
199,0.000011,3.8702,0.9628,0.6778,4294,,,
200,0.000010,3.8836,0.9592,0.6808,4183,0.3898,0.6112,0.0927
